# 100 / 100 / 100 / "real_[hbq_List]"
10100; 1160
10000; 1131
9900; 1124
9800; 1106
9700; 1065
9600; 1058
9500; 1030
9400; 994
9300; 1012
9200; 954
9100; 935
9000; 940
8900; 895
8800; 879
8700; 876
8600; 834
8500; 818
8400; 799
8300; 770
8200; 758
8100; 752
8000; 734
7900; 716
7800; 701
7700; 696
7600; 663
7500; 651
7400; 668
7300; 618
7200; 602
7100; 578
7000; 573
6900; 545
6800; 528
6700; 513
6600; 500
6500; 497
6400; 486
6300; 456
6200; 441
6100; 427
6000; 422
5900; 399
5800; 386
5700; 374
5600; 361
5500; 351
5400; 344
5300; 326
5200; 313
5100; 325
5000; 291
4900; 281
4800; 272
4700; 269
4600; 251
4500; 238
4400; 231
4300; 218
4200; 209
4100; 198
4000; 188
3900; 188
3800; 173
3700; 185
3600; 157
3500; 147
3400; 140
3300; 132
3200; 125
3100; 116
3000; 108
2900; 102
2800; 95
2700; 87
2600; 82
2500; 76
2400; 87
2300; 84
2200; 88
2100; 58
2000; 52
1900; 49
1800; 42
1700; 37
1600; 33
1500; 29
1400; 26
1300; 23
1200; 20
1100; 16
1000; 14
900; 11
800; 9
700; 7
600; 5
500; 3
400; 2
300; 1
200; 1
100; 0
